region,budget,model,side,term,flux_Gt_yr,sd_Gt_yr,pct_of_side_total,pct_lo,pct_hi,pct_of_scale_ref,reservoir_Gt_yr,scale_ref_Gt_yr
SO,ice,ACCESS-CM2,source,Snow-to-ice,2344.6,73.78,15.47,14.98,15.96,10.96,15241.33,21401.5
SO,ice,ACCESS-CM2,source,Open water ice production,3218.31,145.67,21.23,20.27,22.19,15.04,15241.33,21401.5
SO,ice,ACCESS-CM2,source,Basal growth,9594.47,519.27,63.3,59.87,66.72,44.83,15241.33,21401.5
SO,ice,ACCESS-CM2,source,Residual,83.94,,,,,0.39,15241.33,21401.5
SO,ice,ACCESS-CM2,sink,Vapour Exchange,282.37,15.32,1.85,1.75,1.95,1.32,15241.33,21401.5
SO,ice,ACCESS-CM2,sink,Top melt,672.95,108.52,4.42,3.7,5.13,3.14,15241.33,21401.5
SO,ice,ACCESS-CM2,sink,Lateral melt,362.56,24.63,2.38,2.22,2.54,1.69,15241.33,21401.5
SO,ice,ACCESS-CM2,sink,Basal melt,13923.45,614.83,91.35,87.32,95.39,65.06,15241.33,21401.5
SO,ice,HadGEM3-GC31-LL,source,Snow-to-ice,2019.74,103.64,11.44,10.86,12.03,9.44,18036.97,21401.5
SO,ice,HadGEM3-GC31-LL,source,Open water ice production,3762.26,140.16,21.31,20.52,22.11,17.58,18036.97,21401.5
SO,ice,HadGEM3-GC31-LL,source,Basal growth,11869.23,526.25,67.24,64.26,70.22,55.46,18036.97,21401.5
SO,ice,HadGEM3-GC31-LL,source,Residual,385.74,,,,,1.8,18036.97,21401.5
SO,ice,HadGEM3-GC31-LL,sink,Vapour Exchange,437.39,31.77,2.42,2.25,2.6,2.04,18036.97,21401.5
SO,ice,HadGEM3-GC31-LL,sink,Top melt,2434.14,168.13,13.5,12.56,14.43,11.37,18036.97,21401.5
SO,ice,HadGEM3-GC31-LL,sink,Lateral melt,494.45,20.81,2.74,2.63,2.86,2.31,18036.97,21401.5
SO,ice,HadGEM3-GC31-LL,sink,Basal melt,14670.99,663.19,81.34,77.66,85.02,68.55,18036.97,21401.5
SO,ice,UKESM1-0-LL,source,Snow-to-ice,2376.93,41.51,12.58,12.36,12.8,11.11,19287.67,21401.5
SO,ice,UKESM1-0-LL,source,Open water ice production,3943.57,127.52,20.87,20.2,21.55,18.43,19287.67,21401.5
SO,ice,UKESM1-0-LL,source,Basal growth,12574.48,423.98,66.55,64.31,68.79,58.76,19287.67,21401.5
SO,ice,UKESM1-0-LL,source,Residual,392.7,,,,,1.83,19287.67,21401.5
SO,ice,UKESM1-0-LL,sink,Vapour Exchange,519.63,15.0,2.69,2.62,2.77,2.43,19287.67,21401.5
SO,ice,UKESM1-0-LL,sink,Top melt,2020.62,134.23,10.48,9.78,11.17,9.44,19287.67,21401.5
SO,ice,UKESM1-0-LL,sink,Lateral melt,508.48,23.26,2.64,2.52,2.76,2.38,19287.67,21401.5
SO,ice,UKESM1-0-LL,sink,Basal melt,16238.95,492.77,84.19,81.64,86.75,75.88,19287.67,21401.5
SO,ice,MRI-ESM2-0,source,Snow-to-ice,3474.97,96.62,16.44,15.98,16.89,16.24,23904.78,21401.5
SO,ice,MRI-ESM2-0,source,Open water ice production,10004.59,81.25,47.32,46.94,47.71,46.75,23904.78,21401.5
SO,ice,MRI-ESM2-0,source,Basal growth,7662.31,92.26,36.24,35.81,36.68,35.8,23904.78,21401.5
SO,ice,MRI-ESM2-0,source,Residual,2762.91,,,,,12.91,23904.78,21401.5
SO,ice,MRI-ESM2-0,sink,Vapour Exchange,15.73,0.31,0.07,0.06,0.07,0.07,23904.78,21401.5
SO,ice,MRI-ESM2-0,sink,Top melt,719.06,19.3,3.01,2.93,3.09,3.36,23904.78,21401.5
SO,ice,MRI-ESM2-0,sink,Basal melt,23169.98,231.01,96.93,95.96,97.89,108.26,23904.78,21401.5
SO,ice,CESM2-WACCM,source,Snow-to-ice,7043.22,142.31,31.72,31.08,32.36,32.91,22259.15,21401.5
SO,ice,CESM2-WACCM,source,Open water ice production,4990.66,89.24,22.48,22.08,22.88,23.32,22259.15,21401.5
SO,ice,CESM2-WACCM,source,Basal growth,10168.73,114.04,45.8,45.29,46.31,47.51,22259.15,21401.5
SO,ice,CESM2-WACCM,source,Residual,56.54,,,,,0.26,22259.15,21401.5
SO,ice,CESM2-WACCM,sink,Vapour Exchange,7.75,9.92,0.03,0.0,0.08,0.04,22259.15,21401.5
SO,ice,CESM2-WACCM,sink,Top melt,234.83,31.64,1.05,0.91,1.2,1.1,22259.15,21401.5
SO,ice,CESM2-WACCM,sink,Lateral melt,654.0,5.2,2.94,2.91,2.96,3.06,22259.15,21401.5
SO,ice,CESM2-WACCM,sink,Basal melt,21362.56,160.55,95.97,95.25,96.69,99.82,22259.15,21401.5
SO,ice,CESM2-LE,source,Snow-to-ice,6832.05,135.0,31.64,31.01,32.26,31.92,21668.94,21401.5
SO,ice,CESM2-LE,source,Open water ice production,5003.17,80.53,23.17,22.8,23.54,23.38,21668.94,21401.5
SO,ice,CESM2-LE,source,Basal growth,9758.72,190.06,45.19,44.31,46.07,45.6,21668.94,21401.5
SO,ice,CESM2-LE,source,Residual,75.0,,,,,0.35,21668.94,21401.5
SO,ice,CESM2-LE,sink,Vapour Exchange,15.29,0.65,0.07,0.07,0.07,0.07,21668.94,21401.5
SO,ice,CESM2-LE,sink,Top melt,245.21,26.43,1.13,1.01,1.25,1.15,21668.94,21401.5
SO,ice,CESM2-LE,sink,Lateral melt,645.34,12.85,2.98,2.92,3.04,3.02,21668.94,21401.5
SO,ice,CESM2-LE,sink,Basal melt,20763.1,314.75,95.82,94.37,97.27,97.02,21668.94,21401.5
SO,ice,NorESM2-LM,source,Snow-to-ice,4850.82,156.58,24.19,23.41,24.97,22.67,20055.78,21401.5
SO,ice,NorESM2-LM,source,Open water ice production,6328.74,133.25,31.56,30.89,32.22,29.57,20055.78,21401.5
