region,budget,model,side,term,flux_Gt_yr,sd_Gt_yr,pct_of_side_total,pct_lo,pct_hi,pct_of_scale_ref,reservoir_Gt_yr,scale_ref_Gt_yr
SO,snow,ACCESS-CM2,source,Snowfall,4092.48,186.87,100.0,95.43,104.57,84.9,4092.48,4820.13
SO,snow,ACCESS-CM2,sink,Snowmelt,1080.43,93.83,44.86,40.96,48.75,22.42,4092.48,4820.13
SO,snow,ACCESS-CM2,sink,Snow-to-ice,843.75,26.55,35.03,33.93,36.13,17.5,4092.48,4820.13
SO,snow,ACCESS-CM2,sink,Dynamics,484.42,20.24,20.11,19.27,20.95,10.05,4092.48,4820.13
SO,snow,ACCESS-CM2,sink,Residual,1683.88,,,,,34.93,4092.48,4820.13
SO,snow,HadGEM3-GC31-LL,source,Snowfall,4648.4,270.26,100.0,94.19,105.81,96.44,4648.4,4820.13
SO,snow,HadGEM3-GC31-LL,sink,Snowmelt,2169.55,158.37,49.35,45.75,52.95,45.01,4648.4,4820.13
SO,snow,HadGEM3-GC31-LL,sink,Snow-to-ice,2019.74,103.64,45.94,43.58,48.3,41.9,4648.4,4820.13
SO,snow,HadGEM3-GC31-LL,sink,Dynamics,207.17,14.17,4.71,4.39,5.03,4.3,4648.4,4820.13
SO,snow,HadGEM3-GC31-LL,sink,Residual,251.94,,,,,5.23,4648.4,4820.13
SO,snow,UKESM1-0-LL,source,Snowfall,5575.98,199.83,100.0,96.42,103.58,115.68,5575.98,4820.13
SO,snow,UKESM1-0-LL,sink,Snowmelt,2496.74,128.92,48.82,46.3,51.35,51.8,5575.98,4820.13
SO,snow,UKESM1-0-LL,sink,Snow-to-ice,2376.93,41.51,46.48,45.67,47.29,49.31,5575.98,4820.13
SO,snow,UKESM1-0-LL,sink,Dynamics,240.07,12.21,4.69,4.46,4.93,4.98,5575.98,4820.13
SO,snow,UKESM1-0-LL,sink,Residual,462.24,,,,,9.59,5575.98,4820.13
SO,snow,MRI-ESM2-0,source,Snowfall,6427.02,0.0,100.0,100.0,100.0,133.34,6427.02,4820.13
SO,snow,MRI-ESM2-0,source,Dynamics,0.0,0.0,0.0,0.0,0.0,0.0,6427.02,4820.13
SO,snow,MRI-ESM2-0,sink,Vapour Exchange,603.36,8.63,9.39,9.26,9.53,12.52,6427.02,4820.13
SO,snow,MRI-ESM2-0,sink,Snowmelt,2346.42,11.2,36.52,36.35,36.7,48.68,6427.02,4820.13
SO,snow,MRI-ESM2-0,sink,Snow-to-ice,3474.97,96.62,54.09,52.58,55.59,72.09,6427.02,4820.13
SO,snow,MRI-ESM2-0,sink,Residual,2.27,,,,,0.05,6427.02,4820.13
SO,snow,CESM2-WACCM,source,Snowfall,4880.78,43.77,100.0,99.1,100.9,101.26,4880.78,4820.13
SO,snow,CESM2-WACCM,sink,Vapour Exchange,442.04,0.0,21.24,21.24,21.24,9.17,4880.78,4820.13
SO,snow,CESM2-WACCM,sink,Snowmelt,1638.95,28.29,78.76,77.4,80.12,34.0,4880.78,4820.13
